text;class
hallo informasi optimalisasi twitter layan customer service akses call center facebook email cantum gambar;POSITIF
bener gamau ngirim paket gue anjimm;NEGATIF
tolong balas dm;NEGATIF
hati kirim jtr paket ancur sedih harap paket dtg tp paket ancur udh;NEGATIF
iya coba wasap ajarin;NEGATIF
cek dm;NEGATIF
paket semarang qmbilnya yha;POSITIF
gimana kak sampe sy skrg;POSITIF
resi chek;NEGATIF
barang dateng;NEGATIF
yg ngirim samperin kasi csnya daerah chat biar cepet difollow;POSITIF
cek dm urgent;POSITIF
tolong cek dm tq;POSITIF
paket kakak dg resi muter jateng bojonegoro jatim tolong cek paket dokumen;POSITIF
tolong balas chat paket update resi kemarin;POSITIF
parah ton dicuekin barang hilang;POSITIF
org lg yg bekas goyang bangkrut sy kirim paket dr jakarta rawalumbu nyampe parah ekspedisi;POSITIF
optimalisasi bangkrut kelen cepetan gih kirim paket rawalumbu bekas nyampe kirim email nth kpn kelen balas;POSITIF
gimana kak skrg paket sampe stuck;POSITIF
paket kirim kantor jne purbalingga suruh bayar asuransi sampe;POSITIF
nunjukan gejala bangkrut smoga cepetan paket dr rawalumbu bekas nyampe kualitas situasi kelen resi no;POSITIF
gimana paket skrg kak nyampe skrg;POSITIF
alex akhrnya gmn paket jg lapor udh terima pdhl blm terima;POSITIF
beli ijo oren;POSITIF
selesai gmn;POSITIF
udh kelar blm jg nih;POSITIF
tlg cek dm kait no resi tljx dwuw rctk x;POSITIF
jne yes bapuk bener ganti nama yns;POSITIF
mesen pake yes kelakuanya regular;POSITIF
bro beneran dicuekin banget;POSITIF
halo paket kirim bukalapak pakai jne resi update semalem kirim;POSITIF
halo paket nomor resi not found cek mohon bantu terima kasih;POSITIF
day cepat proses;POSITIF
day;POSITIF
cepat proses;POSITIF
day;POSITIF
cepat proses day mutlak ganti nilai barang mention ganti rugi proses;POSITIF
cepat proses day mutlak ganti nilai barang mention ganti rugi proses;POSITIF
cepat proses day mutlak ganti nilai barang mention ganti rugi proses;POSITIF
cepat proses day mutlak ganti nilai barang mention ganti rugi proses;POSITIF
cepat proses day mutlak ganti nilai barang mention ganti rugi proses;POSITIF
cepat proses day mutlak ganti nilai barang mention ganti rugi proses;POSITIF
hey gaess paket kabar kabur gaes minggu gudang kurir tracking no body home membagonnkan;POSITIF
pagi status barang kurir lokasi;POSITIF
banget pake yes esok nyampe nyampe wkwkwkkwwk lawak;POSITIF
call cs blg rumah kantor kosong otak kurir lo kosong boong mulu;POSITIF
tolong cek status resi resi cek online terang;POSITIF
cepat proses day mutlak ganti nilai barang mention ganti rugi proses;POSITIF
paket gw stuck bangsatttttttttttt;POSITIF
kode booking bljc;POSITIF
kirim kemarin pickup expedisi status aplikasi bukalapak pros;POSITIF
cek dm;POSITIF
cek dm;POSITIF
najis lemoootttt;POSITIF
paket jual kirim terima kurir paket gamau jalan tgl november sampe kualitas gimana healing kurir jt;POSITIF
kirim kakak akses call center facebook jne pusat email customercare kak thanks ros;POSITIF
kak falfalah mohon maaf kakak nyaman informasi optimalisasi twitter layan customer service;POSITIF
paket macet jt;POSITIF
halo admin paket nomer resi jt stuck tangerang tanggal gerak tolong followup cabang tsb;POSITIF
paket status processing sorting center penuh banget yah;POSITIF
merespon numpuk paket sengaja paki yes lacak kemaren sampe gimana;POSITIF
permisi paket stuck malang kirim rabu ponorogo sesuai estimasi mohon arah;POSITIF
hallo jne paket tgl proses jne blm sampe jakarta bekas doang ongkirnya mahal lg;POSITIF
cek dm;POSITIF
dm;POSITIF
gudang alamat jarakny sampe km kmrn x bolak kesana pick mrk paket kayak kacawnya sistem sortir;POSITIF
cek dm paket gw jalan;POSITIF
tracking not found update;POSITIF
mohon info nomor resi jt jt jt jt butuh terima barang palong malam besok pagi barang mohon bantu;POSITIF
tolong dm respon kirim;POSITIF
jy cek resi;POSITIF
tljr dfc urce hx paket gerak tolong info terima kasih;POSITIF
paket gerak;POSITIF
cm paket lamabat cek tangerang barang;POSITIF
tanggal gerak bandung;POSITIF
status paket gimna jne service yes update kirim tahan bandung;POSITIF
call x info jalan kota jakarta bohong customernya komplen maksimal bohong follow ekspedis;POSITIF
call x info jalan kota jakarta bohong customernya komplen maksimal bohong follow ekspedis;POSITIF
call x info jalan kota jakarta bohong customernya komplen maksimal bohong follow ekspedis;POSITIF
call x info jalan kota jakarta bohong customernya komplen maksimal bohong follow ekspedis;POSITIF
call x info jalan kota jakarta bohong customernya komplen maksimal bohong follow;POSITIF
call x info jalan kota jakarta bohong customernya komplen maksimal bohong follow;POSITIF
call x info jalan kota jakarta bohong customernya komplen maksimal bohong follow ekspedis;POSITIF
call x info jalan kota jakarta bohong customernya komplen maksimal bohong follow ekspedis;POSITIF
call x info jalan kota jakarta bohong customernya komplen maksimal bohong follow ekspedi;POSITIF
call x info jalan kota jakarta bohong customernya komplen maksimal bohong follow ekspedis;POSITIF
call x info jalan kota jakarta bohong customernya komplen maksimal bohong follow ekspedis;POSITIF
call x info jalan kota jakarta bohong customernya komplen maksimal bohong follow ekspedis;POSITIF
call x info jalan kota jakarta bohong customernya komplen maksimal bohong follow ekspedis;POSITIF
call x info jalan kota jakarta bohong customernya komplen maksimal bohong follow ekspedis;POSITIF
call x info jalan kota jakarta bohong customernya komplen maksimal bohong follow seadany;POSITIF
;POSITIF
call x info jalan kota jakarta bohong customernya komplen;POSITIF
call x info jalan kota jakarta bohong customernya komplen maksimal bohong follow;POSITIF
call x info jalan kota jakarta bohong customernya komplen maksimal bohong follow;POSITIF
call x info jalan kota jakarta bohong customernya komplen maksimal bohong follow ekspedis;POSITIF
tljr dfc urce hx tolong info paket gerak terima kasih;POSITIF
halo jne jne trucking sy resi tljc nhrc ktg;POSITIF
paket resi jt dr tgl nyampek gudang blitar tp sampek alamat jne parah paket customer;POSITIF
lot mahal moga bangkrut;POSITIF
tolong bayar ongkir mahal biar sampe gerak paket;POSITIF
gimana jne paket bom dateng yes dateng cek resi tanggerang ubah;POSITIF
oi jne dm gua bales paket gua hilang;POSITIF
hallo cek dm kakak trobel paket tolong cek;POSITIF
cek dm;POSITIF
paket nomor resi tljc dx rq kantor jnenya kondisi paket didiemin tanggal november anter anter status anter hadeh ngaku ngaku nih agen;POSITIF
gimana paket tdk rumah bolak paket tolonglh kalo info drop point bsa dr nunggu nunggu mulu;POSITIF
klaim sdh blm selesai barang sdh jne tp dana blm refund mksdnya gmn mari hastag rame pake jne;POSITIF
cek dm;POSITIF
gimanaa jam masaa terima paket;POSITIF
admin dm direspon;POSITIF
jt stuck magelang kirim kapann;POSITIF
jne trucking;POSITIF
kirim barang tgl barang yg hilang jne resi daftar resi cetak terang sebutin nomor resi kabar;POSITIF
layan yes komplain;POSITIF
dokumen urgent pagi sore;POSITIF
garansi;POSITIF
tokped dana dteruskan seller suruh nunggu klaim asuransi;POSITIF
;POSITIF
cek dm;POSITIF
gatau nunggu kak ngajuin batal jg tolak shopee nafsu nunggu barang dtg jg;POSITIF
kembang gimana shopee gimana;POSITIF
cek dm;POSITIF
please help nomor resi pakai layan yes loh;POSITIF
paket sy dr td pagi kurir mulu sy lgsg gudang cabang mlm;POSITIF
hallo jne tolong baca kemaren komplain paket nyampe trus notif paket terima terima nama terima kenal nama bukti terima barang;POSITIF
jy gerak pakai jne yes;POSITIF
;POSITIF
tolong cek pesan selesai yerima barang loh;POSITIF
paket sampe kemaren admin jne sempet reply tweet tp sampe paket nyampe ehh diapus reply adminnya hey cek dm;POSITIF
halo paket no resi status delivered pos jaga pos jaga terima paket tolong cek dokumen;POSITIF
jne tgl november status paket counter tangerang operasional gimana;POSITIF
paket udh dijakarta nyesal pake jne;POSITIF
jt cek status ubah proses;POSITIF
jne beneran hapus hapusin reply tweet hahahaha bener sesuai ygy daritadi pagi kurir ygy lokasi gudang malang rusak lo;POSITIF
capek komplen;POSITIF
sampe sampe paket milih kirim pilih jne;POSITIF
payah paket stuck maju;POSITIF
kak paket bayar cod bayar pakai shopee;POSITIF
dicuekin;POSITIF
paket gimana nih jalan marketplace lapor jne tpi jalan kalo kirim balikin paket kirim;POSITIF
cek dm;POSITIF
kirim ekpedisi parah barang gerak jakarta;POSITIF
kirim ekpedisi parah barang gerak jakarta;POSITIF
kirim ekpedisi parah barang gerak jakarta;POSITIF
kirim ekpedisi parah barang gerak jakarta;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapo;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
sore tolong direspon cepat paket hilang tanggal november;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
gimana paket blm estimasi kirim loh;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
tolong cek dm;POSITIF
halo tolong cek paket;POSITIF
kirim yes kmrn blm sampe tolong tq;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapo;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapo;POSITIF
nyaman bikin kapok pake jasa lo;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapo;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
nyaman bikin kapok pake jasa lo;POSITIF
paket woy paket gua paket gua paket gua umpetin;POSITIF
wooeeee th bergrak bidang ekspedisi kayak stroke sekrang blm kjelasan srh nunggu mulut;POSITIF
parah om usaha yg beli jakarta tuban sampe pakai ekspedisi belah jarak x lipat yg sistem antri ngantuk;POSITIF
cek dm bang;POSITIF
admin please bantu dokumen banget;POSITIF
;POSITIF
halo kak paket dateng hr maghrib next day dr rabu;POSITIF
selamat siang paket nomor resi tljr dq mr lq terima tulis terima malam tolong cek barang;POSITIF
tolong updatenya kirim resi;POSITIF
pakai layan yes tanggal nih;POSITIF
;POSITIF
kmren pake jne krn paksa beli barang ekspedisi jd opsi;POSITIF
halo lokasi paket sy skrg dmna estimasi kirim tp;POSITIF
nmr resi hold trs brp minggu;POSITIF
hallo kak list alamat kantor wakil cabang terima kasih;POSITIF
cek dm;POSITIF
hallo kak kirim bantu kantor wakil cabang list alamat terima kasih;POSITIF
hallo kak kirim bantu kantor wakil cabang list alamat terima kasih;POSITIF
hallo kak list alamat kantor wakil cabang terima kasih;POSITIF
hallo kak kirim bantu kantor wakil cabang list alamat terima kasih;POSITIF
halo selamat siang mohon maaf nyaman kait kakak dm no resi bantu cepat terima kasih;POSITIF
halo selamat siang mohon maaf nyaman kait kakak dm no resi bantu cepat terima kasih;POSITIF
halo selamat siang mohon maaf nyaman kait kakak dm no resi bantu cepat terima kasih;POSITIF
gimana paket gerak status;POSITIF
halo paket kak resi kirim tanggal cikande status with delivery courier telp customer carenya angkat email jg gada respon;POSITIF
biasana nyangsang dinu dekeut gening wkwkwk coba;POSITIF
cek dm;POSITIF
paket jne trucking gerak kota mohon bantuanya;POSITIF
tolong cek tg tolong cepat kirim;POSITIF
admin tolong cek dm;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapo;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
bikin kapok nyaman;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
bangeet pake ekspedisi jne cargo kirim tgl nov nyampe skrg bom nyampe;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
nyaman bikin kapok;POSITIF
nyaman bikin kapok;POSITIF
tolong check paket koli nyampe koli kirim dri november nyampe;POSITIF
tolong cek paket kak resi jt paket gerak;POSITIF
nyaman rugi bayar jasa lo;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapo;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapo;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
rugi nyaman tol;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa pelangga;POSITIF
iya ciledug doang;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
asli maenya ontrog mah aeng jne;POSITIF
ahahahahaha;POSITIF
