text;class
hyang pondok leng paket teu dikirimkeun mah aeng dikaluarkeun ninja;POSITIF
bae antep dikirimkeun;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapo;POSITIF
halo paket bom tanggal november;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
hallo admin cek paket tanggal nov skrg kota yg tgl nov blm gerak;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bik;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
paket kirim tangerang malang jakarta konsumen rugi kompensasi kirim paket estimasi kecewa langgan bikin kapok;POSITIF
waduhhhh bener sistem seller jg rugi krn bom terima pesan selesai dr konsumen jd uang seller barang buyer amin terima kasih adisty;POSITIF
paket poe rebo geus bandung nepi ayeuna can kirim kneh paket aeng nanaonan teu kirim cageur;POSITIF
paket stuck jakarta reguler tangerang malang edann barang gw inepin jakarta kompensasi konsumen rugi buang estimasi sesuai;POSITIF
yg apes banget pake jne yg serah acara sampe dihilangin ekspedisi ganti rugi batas materiil imateriil gimana maaf maaf bantu;POSITIF
parah kirim malang tangerang jakarta paket reguler kirim pake duit bayar ekpedisi estimasi konsumen kompensasi parah jne kapok langgan;POSITIF
parahh paket tangerang kirom malang sampe jakarta jne konsumen rugi kompensasi kapok pake jne;POSITIF
lapor nulis jne yg follow duluan rakit komplain yg komplain duluan follow;POSITIF
kendala;NEGATIF
tolong cek dm;NEGATIF
paket gudang kamis anter anterin nunggu weton manis;NEGATIF
hilang resi lho jgn mentang non asuransi agen bilang kirim resi jd suruh lapor pusat pusat cari barang bisaa;NEGATIF
tanggal november resi update paket stuck customer nungguin;NEGATIF
halo paket dr nov kirim trus skrg hilang trus suruh klaim krn non asuransi dibyr x harga baju alas hilang jd berat hilang rusak krn celaka;NEGATIF
tanggal november resi update paket stuck customer nungguin;NEGATIF
tanggal november resi update paket stuck customer nungguin;NEGATIF
halo admin hormat komplain nih perihal resi tljc mkhrqn order tanggal november skrg sy terima komplain nyalahin marketplace kasi seller imbasny;NEGATIF
coba market place tolak aju batal pesan barang posisi kirim rugi konsumen moga barang nisa;NEGATIF
rugi konsumen banget tuh batal marketplace barang kirim kasih barang;NEGATIF
tolong cek dm;NEGATIF
asli kak layan buruk banget call center solutif bs ngetracing cari kendala konsumen lempar kalo update sungguh pake jne;NEGATIF
tgl tracking stuck tgl update;NEGATIF
paket jakarta diam kirim november jakarta kirim tangerang malang kompensasi tunggu jne rugi konsumen kaya;NEGATIF
tolong respon dm paket gerak surabaya;NEGATIF
parah paket kirim tangerang jakarta kpnsumen rugi kompensasi kirim barang gratis bayar cash estimasi;NEGATIF
no resi;NEGATIF
tolong respon dm status paket gerak surabaya;NEGATIF
admin bantu follow no resi;NEGATIF
status gerak cat food lumayan lho sedih tunggu tolong follow terima kasih;NEGATIF
jne;NEGATIF
haduh jne paket tgl kirim yes trus tanggung telpon call center rahu dsuruh tunggu trus sampe siang paket sampe;NEGATIF
selamat siang salam sejahtera moga kakak niat bantu paket tmn yg dmn;NEGATIF
siang resi kenal iya;NEGATIF
kirim yg kurir rekomendasi no resi tkp ev tanggal nov terima security rumah pos satpam lokasi terima;NEGATIF
kirim gratis ongkir yg jne peduli cianjur resi;NEGATIF
cong coba jgn private dlu biar baca sm gue bantu tag;NEGATIF
yg barang kannn;NEGATIF
dear mohon bantu cek paket minggu tangerang blm update;NEGATIF
tolong cek dm;NEGATIF
kirim jakarta tangerang masak deh;NEGATIF
tlg cek paket gerak gerakkkk rabu tljr dxvpxr cg;NEGATIF
resi tljc x hq diem gagerak samsek;NEGATIF
parah nama;NEGATIF
bener barang sdh jne tp uang beli barang blm direfund jne;NEGATIF
tolong cek dm;NEGATIF
info yg gratis kirim bantu posko gempa cianjur cabang jne daerah kelapa gading;NEGATIF
jne gmn nih sdh klaim sy refund barang sdh kurir tp dana blm direfund;NEGATIF
admin dm twitter direspon tolong donk kendala;NEGATIF
nyampe jg jakarta utara parahny shopee jg pura response doang liat banget niat follow jne kadang mikir fungsi marketplace bayar biaya layan tp;NEGATIF
cek dm pls;NEGATIF
cek dm;NEGATIF
tanggal nov barang padang sampe tgl nov sampe rumah padang tpi stat gudang ngapain eram paket paket telur yg;NEGATIF
balas dm;NEGATIF
halo jne paket yes dg resi jy;NEGATIF
respon dm;NEGATIF
jne paket gua order barang selasa sampe jkt bks deket mengcape;NEGATIF
komplain tetep kekeh barang terima terima;NEGATIF
maaf admin perihal paket terima;NEGATIF
paket paket paket temu tindak jne;NEGATIF
paket kirim butuh murah sultan biaya komplain kalo push gerak;NEGATIF
yeuuu gilir protes jalan oke;NEGATIF
barang ekspedisi hilang diakalin sistem biar konsumen cemas beritahu kalo hilang esok barang ilang ekspedisi gampang;NEGATIF
hallooo tanggal november paket gerak;NEGATIF
senang barang jatiasih minggu jakarta pagi hubung barang hilang loh gimana barang kota kemarin pagi hilang;NEGATIF
halo paket nomor resi status barang terima nama riyan kemarin rumah keluarga terima barang mohon dibant;NEGATIF
kecewa kemarin mention jne care hubung memberitahu kalo barang hilang jakarta cek web;NEGATIF
cek dm;NEGATIF
nahhh kannn ngeri banget mgkn marketplace pake batal pesan biar uang huhuhu btw laptop yg ilang simpat moga bs selesai urus;NEGATIF
halo gimana paket jne counter jakarta update mohon bantu informasi;NEGATIF
jakarta tangerang maksimal;NEGATIF
tolong cek resi jt stuck;NEGATIF
cek dm cepet;NEGATIF
halo paket udh gerak;NEGATIF
hallooo paket no resi tanggal sd tanggal november beda camat kotamadya;NEGATIF
tolong kurir evaluasi barang kurir lokasi tgl barang tanam hidup mohon bantu resi jt;NEGATIF
keren telat estimasi kirim uang kirim dibalikin;NEGATIF
tolong respon dm;NEGATIF
paket blm nyampe pdhal paket ctc loch dlam kota bgaimana bsa sttus shiping teruss;NEGATIF
paarahhhh ekpedisi buobrokkk parah jawabanya suruh nunggu sampe kiamat;NEGATIF
kak cek dm;NEGATIF
dear;NEGATIF
tgl nov berkas bom alamat;NEGATIF
komplain komplain parah haha good job;NEGATIF
kak tolong cek resi cm;NEGATIF
jne udh bobrok bangkrut kaya sistem rugi;NEGATIF
proses gimana kemaren gudang hadehh;NEGATIF
cuman resi lampir bukti foto jne telp bilang record resi cek website sndiri gamau tanggung gimana;NEGATIF
mohon cek dm;NEGATIF
halo admin paket status ubah mohon bantu cek dm terima kasih;NEGATIF
assalamualaikum kak paket dgn no resi tljc dxe drq lt tanggal nyampe banda aceh;NEGATIF
tolong cek dm;NEGATIF
;NEGATIF
oke dm kak tolong info;NEGATIF
paket kirim dr tgl nov skrg blm sampe dr ancol tanjung priok gada inisiatif selesai komplenan suruh tunggu mulu;NEGATIF
waaaah hati kirim paket mending kantor pos;NEGATIF
ngirim tgl sampe sampe sampe;NEGATIF
barang kirim kirim loh barang pesan kirim jne google nilai service jelek banget;NEGATIF
proyek gagal dapet gegara layan parah minggu sampe;NEGATIF
tolong jne detik paket gerak status sorting dr tgl nov paket dokumen disubmit bank hr parah service jne diblow media;NEGATIF
kecewa banget jne profesional banget call center dtanya paket dmana dsuruh tunggu kalo rusa paket jne tanggung paket yes selip;NEGATIF
stuck gerak;NEGATIF
paket kunjung diam;NEGATIF
paket diumpetin;NEGATIF
emg ekspedisi laknattt;NEGATIF
tolong paket yg hilang proses ganti rugi terimakasih;NEGATIF
dm mohon tolong respon;NEGATIF
paket sampenya oi gudang kaga kirim kirim mah gw kaga make jasa lo;NEGATIF
cek dm minnnn butuh info paket yg status dr kemaren huhuhuhuhu;NEGATIF
cepat proses day mutlak ganti nilai barang mention ganti rugi proses;NEGATIF
kirim berkas fasilitas one day service tgl nov tracking proses kantor cabang;NEGATIF
paket anter;NEGATIF
semarang blora minggu provinsi sbnernya paket anter nunggu paket estimasi;NEGATIF
cek dm barang blm estimasi;NEGATIF
halo jne paket tgl pakai yes sampe sampe telpon call center paket dmana omggggg;NEGATIF
oke terima kasih;NEGATIF
yg butuh masf kalin mnta paket kirim;NEGATIF
halo gimana respond update lapor;NEGATIF
maaf;NEGATIF
bom nyampe paket;NEGATIF
kirim barang cianjur kota layan pick kantor jne kota;NEGATIF
admin solutif;NEGATIF
coy kalo ilang ngemeng ilang malu biar urus cepet cepet barang duit coy;NEGATIF
solutif;NEGATIF
admin copas doang;NEGATIF
tanggung barang cust;NEGATIF
admin tolong cek dm status paket gerak rabu nov tolong bantu kasi yg udh nunggu paket nih terima kasih;NEGATIF
noresi tljc dpxtlr tolong kirim donk ngendon warehouse kemaren;NEGATIF
info status ubah jam;NEGATIF
jadwal pickup jam atur pickup;NEGATIF
status ubah jam;NEGATIF
gaakan kesal;NEGATIF
halo status kasi tunggu paket mohon bantu;NEGATIF
tolong paket dipake wisuda;NEGATIF
paket selasa cabang tutup malam trus kudu gimana butuh pakai;NEGATIF
memention paket;NEGATIF
ayo rekrut kirim barang yg numpuk numpuk barang dikeluhin maklum langgan;NEGATIF
iya jne kalo kudu gercep mitigasi nih armada kek personel kek lancar tumpu barang dibiarin;NEGATIF
paket sebenernya estimasi kirim kirim gagal kurir;NEGATIF
hilang paket ribet;NEGATIF
tandu eik;NEGATIF
kemarin nelpon info kota status tracking ubah;NEGATIF
;NEGATIF
rahasia usaha kak biar komplain;NEGATIF
dm balas skrang mohon cek yas;NEGATIF
kayak kaalu kayak dilaporin bang professional segi sistem sop layan customer attitude tenaga yg;NEGATIF
bikin yg tulis dm baca percaya yg manipulasi karyawan sesuai lapang simpul maaf maaf doang ngedengerin keluha;NEGATIF
kak yg kasi template suruh hubungin tokped biar tokped yg investigasi ekspedisi;NEGATIF
nyesel banget milih jne;NEGATIF
bales kak mohon cek dm;NEGATIF
kirim surabaya sulawesi gimana;NEGATIF
malam paket komplain market place tahan jne tgl nov resi tljc wrqnq rugi;NEGATIF
malam sy telpon barang hold sistem batal cs bilang pulsa kuras habis info sungguh cakap menit yg;NEGATIF
mohon benah sistem respon barang batal sy fu tgl november;NEGATIF
paket kirim bareng no resi beda resi tgl november jakarta sidoarjo yg paket yg status tgl november sistem shopee batal lucu sistem jne paket kurir;NEGATIF
status paket terima keluarga rumah yg terima paket rumah teman gimana jne;NEGATIF
terima kasih kak;NEGATIF
status paket terima keluarga rumah yg terima paket rumah teman gimana jne;NEGATIF
nasib om;NEGATIF
cek dm kak paket no resi sampe sampe;NEGATIF
paket sy tljr dke lr nyampe pdhal udh jakarta;NEGATIF
paket dr pademangan tanjung priok dr tgl november blm sampe call cebter tdk muas suruh tunggu aje gmn inih reputasi jne jdi jelek klo barang hilang sm oknum yg jne yg tdk bertangg;NEGATIF
kinerha jne turun paket kurir anter bobol tolong kurir sp beres anter anter;NEGATIF
dm gda blsan;NEGATIF
fm gda blsan;NEGATIF
kirain doang emng jne lambat kurir drop point jne beres konfirmasi terima proses cepat suruh nunggu sampe sampe;NEGATIF
iya dri tokpednya jne mah ngaco tindak yg beli barang rare taiiii tuh;NEGATIF
asuransi tokped jne;NEGATIF
asli rekomended pakai jne tempo paket tunggu nyampe pakai yes status huni rumah gerbang security jam;NEGATIF
pake tokped proses aju klaim asuransi;NEGATIF
kirim opo jane opo barne ae ekspedisine;NEGATIF
wilayah tanah datar;NEGATIF
suka dusta spik dm tuh dm boong mulu heran;NEGATIF
makasih kak saran iya lgi hubung cs jne jg besok kalo cerah cancel dana;NEGATIF
jalan tgl halooo;NEGATIF
kak coba dm cs jne kesini mention dibantuin trus dm kemarin lapor cepet paket stuck sayang banget promonya kalo dikembaliin dana;NEGATIF
takut dosa gimana;NEGATIF
dititipin amanah segitu dikerjain;NEGATIF
bikin statement internal template;NEGATIF
paket shipment problem kirim semalem ajaa kalo karna paket ketuker gabakal pake ekspedisi;NEGATIF
iya ngawur mah gue jakarta ngasal jne max tgl nyampe minggu gatau tuh paket;NEGATIF
halo tolong cek dm thx;NEGATIF
mjb kak tanggal sampe detik nyampe;NEGATIF
admin ditanyain template;NEGATIF
halo admin tolong baca dm;NEGATIF
jne kesini parah;NEGATIF
halo tolong jngan update lapor kirim palsu kurir pesan bukti cctv malas bilang jngan blg lokasi;NEGATIF
direspon nunggu ayam sapi;NEGATIF
twitter respon doang;NEGATIF
halo kak terima kasih paket bandung alamat besok pagi pesan tanggal sampe nyampe rumah sabtu;NEGATIF
cek dm;NEGATIF
kak pastiin yg pake jne buruk adminnya cman modal maaf doang;NEGATIF
wkwk bener bang gua jga minggu kaga paket harga jta ktanya hilang konyol udh jgn pake jne lg bang mending;NEGATIF
cek dm;NEGATIF
cek dm;NEGATIF
masama moga paket cepat terima selamat yaaaa aamiin yra;NEGATIF
paket jalan tanggal macet gateway surabaya tolong lacakin minnnnn;NEGATIF
saking alas gudang sortir kirim dr gudang sortir gudang sortir terima ujung msih sby dasar jasa rim kredibel hri kirim;NEGATIF
halo paket jne yes resi tlje dnv nyampe;NEGATIF
malam tlong no resi alamat info cek resi miss route tlong hubung;NEGATIF
paket sampe sampe;NEGATIF
tolong cek dm nih males kalo pake jne;NEGATIF
alhamdulillah mantap deh thanks info;NEGATIF
paket gagal ulang tanngal november tpi november;NEGATIF
telpon cs sibuk;NEGATIF
halo tolong perbaikin jne jakarta malas paket;NEGATIF
alhamdulillah toko bagus packingnya pake box kayu yg kokoh bubble wrap;NEGATIF
halo admin jual rugi karna paket tgl november skrang customer jarak serang jakarta;NEGATIF
complen tanggap tolong pegawai malas paket;NEGATIF
barang sy blm nih barusan cek kota transit paket jalan deg deg;NEGATIF
iya ajuin komplain tokopedia kemaren;NEGATIF
paket minggu parahhhh kaya yg peduli langgan;NEGATIF
halo tolong cek dm;NEGATIF
jam jne depok margonda jam makasih;NEGATIF
yakali gue nunggu barang minggu suruh nunggu jne dm kaya ngomong tembok empati ngepush ekspedisi;NEGATIF
paket nyampe minggu aduuuuuh kacau kaya yg komplain mohon tindaklanjuti;NEGATIF
kemarin sempet ngajuin komplain tokped;NEGATIF
kak tindak shopee jne gila sampe ilang kaya ngomong tembok;NEGATIF
paket kg indikasi hilang mantep bener expedisi;NEGATIF
pake yg bro gwe barang sampe hilang transaksi puluh juta;NEGATIF
belanja online alamat kurir kirim alamat rumah pake jne alamat temu kurir kurir jalan;NEGATIF
harap paket tgl blm sampe jarak bdg bks;NEGATIF
paket jg minggu gajelas yg abis pikir jne yg kirim suruh lapor marketplace alesannya biar pintu yakale yg konsumen yg sur;NEGATIF
jl sultan bagagarsah pagaruyung batusangkar pagaruyung tj kabupaten tanah datar sumatera;NEGATIF
selamat sore paket estimasi kirim tolong cek;NEGATIF
cek dm;NEGATIF
paket terima;NEGATIF
dm;NEGATIF
tunggu;NEGATIF
iya bro grogol;NEGATIF
gausah bales kek bot deh mending bales dm rep rep doang klo kaga bales dm;NEGATIF
baca dm komplain kait attitude komunikasi;NEGATIF
gimana nihh stuck mulu maju nyaman semarang gimana paket;NEGATIF
hallo cek dm;POSITIF
dm;POSITIF
gerak bro mending pake yg;POSITIF
halo jne paket kirim tulis tracking terima ybs pdahal ybs rumah mohon cek dm;POSITIF
